,blast_id,user_id,date,video,sport,action_type,gender,equipment,thumb,handedness,is_air_swing,back_stroke_time,forward_stroke_time,total_stroke_time,tempo,impact_stroke_speed,back_stroke_length,loft_change,backstroke_rotation,forward_stroke_rotation,face_angle_at_impact,lie_change
138,ac057284-56df-40b7-a944-2a878e68831e,529228,"February 25, 2026 / 4:15pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.90,2.0,2.1,5.2,1.1,2.5,2.1,0.4,-1.2
139,3ea9fbdd-6cdb-4596-832f-c277e2e08c8d,529228,"February 25, 2026 / 4:15pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.62,0.29,0.91,2.1,2.3,6.0,1.3,3.3,2.3,1.0,-0.7
140,76c50898-05d3-4344-b5e5-07428587566f,529228,"February 25, 2026 / 4:15pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.57,0.29,0.86,2.0,2.3,5.5,2.0,2.2,1.5,0.7,-1.0
141,357b3d76-85e8-436e-97e3-4287f54413e2,529228,"February 25, 2026 / 4:14pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.29,0.91,2.1,2.1,5.0,1.2,2.1,1.3,0.8,-1.0
142,37b71f41-81cb-4050-9f82-e7f4f80a7f88,529228,"February 25, 2026 / 4:14pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.55,0.29,0.84,1.9,2.2,5.4,1.6,2.4,2.1,0.3,-0.9
143,51770937-328c-42c6-98b6-fac3f0b37473,529228,"February 25, 2026 / 4:14pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.59,0.30,0.88,2.0,2.3,6.0,1.8,2.3,1.7,0.6,-0.7
144,a7b91a89-9433-42f2-86a9-698c587379d1,529228,"February 25, 2026 / 4:14pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.60,0.30,0.90,2.0,2.1,5.5,1.7,2.7,1.6,1.1,-0.7
145,d9d3a9a9-679e-478a-95c7-13c4a748459a,529228,"February 25, 2026 / 4:13pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.58,0.29,0.87,2.0,2.1,4.7,1.3,2.0,1.7,0.3,-1.1
146,1d32dfdd-acd3-4437-aa25-f63a0319e48f,529228,"February 25, 2026 / 4:13pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.61,0.30,0.91,2.0,2.2,6.0,1.1,2.8,3.2,-0.3,-1.1
147,4a83f954-6549-4f3c-8ea8-d3af7f35bc6d,529228,"February 25, 2026 / 4:13pm",,golf,putt,other,Putter - Spider Tour Silver Dbl Bend,/img/metric-thumbs/thumb-golf-other-putt.png,,0,0.62,0.30,0.91,2.1,2.2,5.5,1.3,2.5,2.7,-0.2,-0.6
